Название,Цена,Категория,Ссылка
"Процессор AMD Ryzen 3 4100, BOX",43 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-4100-box/
"Процессор AMD Ryzen 5 7600X, AM5, OEM",117 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-7600x-am5-oem/
"Процессор AMD Ryzen 9 7900X, AM5, OEM",219 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-9-7900x-am5-oem/
"Процессор Intel Core i5 13600KF, LGA1700, OEM",119 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-13600kf-lga1700-oem/
"Процессор Intel Core i5 13600K, LGA1700, OEM",148 700 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-13600k-lga1700-oem/
"Процессор Intel Core i7 13700KF, LGA1700, OEM",179 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-13700kf-lga1700-oem/
"Процессор Intel Core i7 13700K, LGA1700, OEM",208 090 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-13700k-lga1700-oem/
"Процессор Intel Core i9 13900K, LGA1700, OEM",295 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-13900k-lga1700-oem/
"Процессор AMD Ryzen 3 PRO 1200, AM4, OEM (SN:be267a0e-7997-42d9-a112-68be3a440cf9)",36 900 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-pro-1200-am4-oem-sn-be267a0e-7997-42d9-a112-68be3a440cf9/
"Процессор AMD Ryzen 7 PRO 5750G, AM4, OEM - с кулером (SN:5c96de12-2242-4153-96f6-0c8c33fcdcf4)",119 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-pro-5750g-am4-oem-s-kulerom-sn-5c96de12-2242-4153-96f6-0c8c33fcdcf4/
"Процессор AMD Ryzen 7 PRO 5750G, AM4, OEM - с кулером (SN:25291292-b7fd-49f7-8cde-8e5adeb9addf)",119 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-pro-5750g-am4-oem-s-kulerom-sn-25291292-b7fd-49f7-8cde-8e5adeb9addf/
"Процессор AMD Ryzen 7 PRO 5750G, AM4, OEM - с кулером (SN:d2aa8447-f828-4cbb-adf9-1cb9260e5e34)",119 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-pro-5750g-am4-oem-s-kulerom-sn-d2aa8447-f828-4cbb-adf9-1cb9260e5e34/
"Процессор AMD Ryzen 7 PRO 4750G, AM4, OEM",119 490 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-pro-4750g-am4-oem/
"Процессор AMD Ryzen 7 4700G, AM4, OEM",109 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-4700g-am4-oem/
"Процессор AMD Ryzen 5 4600G, AM4, OEM",56 900 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-4600g-am4-oem/
"Процессор AMD Ryzen 3 4100, AM4, OEM - с кулером",39 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-4100-am4-oem-s-kulerom/
"Процессор Intel Core i9 12900F, LGA1700, BOX",239 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-12900f-lga1700-box/
"Процессор Intel Pentium Gold G7400, LGA1700, OEM",41 290 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-pentium-gold-g7400-lga1700-oem/
"Процессор Intel Core i9 12900F, LGA1700, OEM",168 400 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-12900f-lga1700-oem/
"Процессор Intel Core i9 12900, LGA1700, OEM",225 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-12900-lga1700-oem/
"Процессор Intel Core i3 12100, LGA1700, OEM",57 090 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-12100-lga1700-oem/
"Процессор Intel Celeron G6900, LGA1700, OEM",37 300 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-celeron-g6900-lga1700-oem/
"Процессор Intel Celeron G6900, LGA1700, BOX",38 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-celeron-g6900-lga1700-box/
"Процессор Intel Core i7 12700, LGA1700, OEM",142 200 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-12700-lga1700-oem/
"Процессор Intel Core i5 12500, LGA1700, OEM",106 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-12500-lga1700-oem/
"Процессор Intel Core i5 12400F, LGA1700, OEM",59 590 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-12400f-lga1700-oem/
"Процессор Intel Core i5 12400, LGA1700, OEM",69 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-12400-lga1700-oem/
"Процессор Intel Core i3 12100F, LGA1700, OEM",32 490 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-12100f-lga1700-oem/
"Процессор Intel Core i9 12900K, LGA1700, OEM",184 090 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-12900k-lga1700-oem/
"Процессор Intel Core i5 12600KF, LGA1700, OEM",87 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-12600kf-lga1700-oem/
"Процессор Intel Core i9 12900KF, LGA1700, OEM",185 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-12900kf-lga1700-oem/
"Процессор Intel Core i7 12700KF, LGA1700, OEM",134 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-12700kf-lga1700-oem/
"Процессор Intel Core i7 12700K, LGA1700, OEM",142 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-12700k-lga1700-oem/
"Процессор Intel Core i5 12600K, LGA1700, OEM",107 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-12600k-lga1700-oem/
"Процессор AMD A6-9500, AM4, OEM",14 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-a6-9500-am4-oem/
"Процессор AMD Ryzen 7 PRO 5750G, AM4, OEM - с кулером",139 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-pro-5750g-am4-oem-s-kulerom/
"Процессор AMD Ryzen 7 5700G, AM4, OEM",90 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-5700g-am4-oem/
"Процессор AMD Ryzen 5 5600G, AM4, OEM",69 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-5600g-am4-oem/
"Процессор Intel Core i3 10105, LGA1200, BOX",59 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-10105-lga1200-box/
"Процессор AMD Ryzen 3 PRO 1200, AM4, OEM",39 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-pro-1200-am4-oem/
"Процессор Intel Core i9 11900K, LGA1200, BOX - без кулера",149 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-11900k-lga1200-box-bez-kulera/
"Процессор Intel Pentium Gold G6405, LGA1200, OEM",36 300 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-pentium-gold-g6405-lga1200-oem/
"Процессор Intel Core i3 10105F, LGA1200, OEM",33 800 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-10105f-lga1200-oem/
"Процессор Intel Core i3 10105, LGA1200, OEM",55 690 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-10105-lga1200-oem/
"Процессор Intel Core i9 11900F, LGA1200, BOX",109 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i9-11900f-lga1200-box/
"Процессор Intel Celeron G5905, LGA1200, BOX",25 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-celeron-g5905-lga1200-box/
"Процессор AMD Ryzen 5 5600X, AM4, OEM",56 800 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-5600x-am4-oem/
"Процессор Intel Celeron G5905, LGA1200, OEM",21 800 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-celeron-g5905-lga1200-oem/
"Процессор AMD Ryzen 7 5800X, AM4, OEM",103 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-7-5800x-am4-oem/
"Процессор Intel Core i3 10100F, LGA1200, BOX",37 690 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-10100f-lga1200-box/
"Процессор Intel Core i3 10100, LGA1200, BOX",59 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-10100-lga1200-box/
"Процессор AMD Ryzen 5 PRO 4650G, AM4, OEM",56 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-pro-4650g-am4-oem/
"Процессор Intel Core i3 10100F, LGA1200, OEM",32 400 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-10100f-lga1200-oem/
"Процессор AMD Ryzen 3 PRO 4350G, AM4, OEM",43 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-pro-4350g-am4-oem/
"Процессор Intel Core i7 10700KF, LGA1200, OEM",104 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-10700kf-lga1200-oem/
"Процессор Intel Core i7 10700K, LGA1200, BOX - без кулера (Marvel Avengers Collector's Edition)",139 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-10700k-lga1200-box-bez-kulera-marvel-avengers-collector-s-edition/
"Процессор Intel Core i5 10600K, LGA1200, BOX - без кулера (Marvel Avengers Collector's Edition)",92 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-10600k-lga1200-box-bez-kulera-marvel-avengers-collector-s-edition/
"Процессор Intel Core i7 10700KF, LGA1200, BOX - без кулера",109 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i7-10700kf-lga1200-box-bez-kulera/
"Процессор Intel Core i5 10400F, LGA1200, OEM",44 290 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-10400f-lga1200-oem/
"Процессор Intel Core i5 10500, LGA1200, BOX",86 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-10500-lga1200-box/
"Процессор Intel Celeron G5900, LGA1200, OEM",19 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-celeron-g5900-lga1200-oem/
"Процессор Intel Core i5 10600K, LGA1200, OEM",92 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-10600k-lga1200-oem/
"Процессор Intel Core i5 10500, LGA1200, OEM",85 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-10500-lga1200-oem/
"Процессор Intel Core i5 10400, LGA1200, OEM",69 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-10400-lga1200-oem/
"Процессор Intel Core i3 10100, LGA1200, OEM",54 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-10100-lga1200-oem/
"Процессор Intel Core i5 10400, LGA1200, BOX",75 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i5-10400-lga1200-box/
"Процессор Intel Xeon E5-1620 V4, LGA2011-3, OEM",175 600 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-xeon-e5-1620-v4-lga2011-3-oem/
"Процессор Intel Xeon E3-1240 V5, LGA1151, OEM",237 800 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-xeon-e3-1240-v5-lga1151-oem/
"Процессор AMD Athlon 3000G, AM4, OEM",19 790 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-athlon-3000g-am4-oem/
"Процессор AMD Ryzen 5 3600, AM4, OEM",39 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-3600-am4-oem/
"Процессор AMD Ryzen 3 3200G, AM4, OEM",32 090 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-3200g-am4-oem/
"Процессор AMD Athlon 200GE, AM4, OEM",15 490 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-athlon-200ge-am4-oem/
"Процессор AMD Ryzen 5 2400G, AM4, OEM",31 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-5-2400g-am4-oem/
"Процессор AMD Ryzen 3 1200, AM4, OEM",29 990 ₸,Процессоры,https://shop.kz/offer/protsessor-amd-ryzen-3-1200-am4-oem/
"Процессор Intel Core i3 8100, LGA1151, OEM",38 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-core-i3-8100-lga1151-oem/
"Процессор Intel Pentium DualCore G4560, LGA1151, OEM",18 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-pentium-dualcore-g4560-lga1151-oem/
"Процессор Intel Celeron G3900, LGA1151, OEM",21 990 ₸,Процессоры,https://shop.kz/offer/protsessor-intel-celeron-g3900-lga1151-oem/
"Материнская плата ASRock B850M-X, AM5",75 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-asrock-b850m-x-am5/
"Материнская плата ASRock B850M PRO-A WIFI, AM5",94 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-asrock-b850m-pro-a-wifi-am5/
"Материнская плата ASRock B850M PRO-A, AM5",87 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-asrock-b850m-pro-a-am5/
"Материнская плата ASRock B850M PRO RS, AM5",98 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-asrock-b850m-pro-rs-am5/
"Материнская плата ASRock B850 PRO RS, AM5",114 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-asrock-b850-pro-rs-am5/
"Материнская плата ASRock B850 PRO-A, AM5",107 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-asrock-b850-pro-a-am5/
"Материнская плата Gigabyte Z890 Aero D, LGA1851",480 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-gigabyte-z890-aero-d-lga1851/
"Материнская плата Gigabyte Z890 Aorus Master Al Top, LGA1851",559 990 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-gigabyte-z890-aorus-master-al-top-lga1851/
"Материнская плата Gigabyte B760M D3HP WiFi6, LGA1700",82 400 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-gigabyte-b760m-d3hp-wifi6-lga1700/
"Материнская плата Gigabyte B550 Eagle WiFi6, AM4",84 590 ₸,Материнские платы,https://shop.kz/offer/materinskaya-plata-gigabyte-b550-eagle-wifi6-am4/
