Название;Цена
Видеокарта ZOTAC GAMING RTX 3050 TE OC 6GB 96bit/G6 (HDMI+3DP)[ZT-A30510H-10L];117 990 ₸
Оперативная память DDR4 DIMM 8GB/3000MHz PC-24000 PATRIOT VIPER 4 STEEL (PVS48G300C6);20 590 ₸
Фитинг удлинитель поворотный для измнения размера соединения на 9,5ММ Bykski B-DTSO-S;1 790 ₸
"Внутренний HDD 3.5"" 6TB Western Digital Purple Surveillance SATA-III [WD64PURZ]";82 990 ₸
Кулер для CPU Jonsbo CR-1100 Pink;14 990 ₸
Блок питания 700W Formula V FX-700 ATX [ZHZ60BCA132B0-01];21 580 ₸
Комплект цветных кабелей Cooler Master Red-Black (CMA-NEST16RDBK1-GL);23 890 ₸
Блок питания 400W X-Game Shadow 400W ATX 20+4pin, 4+4pin (Shadow 400W);5 990 ₸
Видеокарта Gainward RTX 3050 Ghost 8GB 128bit/G6 (HDMI+DP+DVI)[NE63050018P1-1070B];138 990 ₸
Фитинг 14ММ Bykski B-HTJV2-L14 (для соединения акриловых трубок 14ММ) White;2 590 ₸
Оперативная память DDR5 DIMM 64GB(32GBx2)/5600Mhz PC5-44800 Kingston FURY Beast EXPO RGB (KF556C36BBEAK2-64);118 590 ₸
Фитинг 12ММ Bykski B-HTJV2-L12 (для соединения акриловых трубок 12ММ);2 390 ₸
Фитинг угловой Bykski B-RD90-EXJ30 (90гр. 30ММ, Папа-мама, Silver);3 190 ₸
Блок питания 1200W ASUS ROG Strix 1200G Aura Edition ATX Black 80+ Gold;185 990 ₸
Блок питания 1000W Chieftec Silicon SLC-1000C ATX 80+ Bronze [SLC-1000C];56 980 ₸
Заглушка Bykski B-PD5 (Frozen Dragon Printing, Silver);590 ₸
Внутренний SSD M.2 2280 1TB Hikvision E1000 PCIe 3.0 x4 NVMe 3D TLC (HS-SSD-E1000/1024G);32 990 ₸
Блок питания 850W Gamemax GP 850W ATX 80+ Bronze [GP 850W];26 790 ₸
Блок питания 600W Gamemax VP-600-RGB-M ATX 80+ Bronze (VP-600-RGB-M);19 990 ₸
Оперативная память DDR5 DIMM 32GB(16GBx2)/5600Mhz Kingston Fury Beast Black EXPO [KF556C36BBEK2-32];59 990 ₸
Процессор Intel Core i3-13100 (C4/8T, 12M Cache, 3.4 up to 4.5 GHz) LGA1700 OEM;63 990 ₸
Фитинг 16ММ Bykski B-HTJV2-L16 Black (для соединения акриловых трубок 16ММ);2 790 ₸
ПК корпус Corsair iCUE 5000X RGB MidTower, window, Black EATX (CC-9011212-WW);97 910 ₸
Фитинг угловой Bykski B-RD90-EXJ40 (90гр. 40ММ, Папа-мама, Silver);3 690 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-AS-STRIXHS-P (для кейсов Asus Rog Strix Helios);79 090 ₸
Система жидкостного охлаждения для CPU ARCTIC Liquid Freezer II-420 A-RGB;69 990 ₸
Блок питания 1200W FSP Hydro PTM PRO ATX 80+ Platinum [HPT2-1200M Gen 5];122 990 ₸
Процессор Intel Core i3-13100F (C4/8T, 5M Cache, 3.4 up to 4.5 GHz) LGA1700 OEM;57 990 ₸
Блок питания 750W Formula V AP-750MM ATX 80+ Standart [AP-750MM];24 790 ₸
Кейс FSP CST360B MidTower, window, Black mATX (CST360B);28 990 ₸
Кулер для CPU Formula V ICE BURG EX ARPW 6P, ARGB Black [ICE BURG EX ARPW 6P];11 190 ₸
Блок питания 650W Formula V AP-650MM ATX [AP-650MM];20 990 ₸
ПК корпус Jonsbo TR03-G FullTower, window, Silver ATX;259 990 ₸
ПК корпус Jonsbo MOD-3 Mini MiniTower, window, Gray mATX (MOD-3 Mini Gray);129 990 ₸
ПК корпус MSI PROSPECT 700R MidiTower, window, Black EATX (MEG PROSPECT 700R);183 590 ₸
ПК корпус 2E FANTOM GK701B MiniTower, window, Black mATX (GK701B);53 990 ₸
Жидкость для водяного охлаждения Bykski B-NS-ZROE (500ML Blue);5 290 ₸
Блок питания 550W Cougar XTC ARGB 550 ATX 2x6+2pin, 4+4pin (XTC ARGB 550);23 990 ₸
Жидкость для водянного охлаждения Bykski B-NS-ZROE (500ML Green);5 190 ₸
Блок питания 1000W FSP Hydro G PRO HG2-1000 GEN5 Black ATX 80+ Gold [HG2-1000 GEN5];85 990 ₸
Блок питания Aerocool VX PLUS 550W 20+4pin, 4+4pin ATX (VX PLUS 550);13 990 ₸
Видеокарта Palit RTX 3060 DUAL LHR 12GB 192bit/G6 (HDMI+3DP)(NE63060019K9-190AD LHR);176 990 ₸
Кулер для кейса Jonsbo ZS-120W White;10 000 ₸
Карта видеозахвата Elgato Game Capture 4K60 Pro MK.2 (10GAS9901);149 990 ₸
Блок питания 750W Gamemax GP 750W ATX 80+ Bronze [GP 750W];21 990 ₸
