name,price
Мышка CANYON CNS CMSW18 DG (dark grey),6 990 ₸
Клавиатура LOGITECH MK 240 USB White,17 490 ₸
Мышка игровая CANYON Gaming CND-SGM11B,9 990 ₸
Мышка LOGITECH M650L Signature Bluetooth Mouse - GRAPHITE - LEFT,19 490 ₸
Мышка игровая LOGITECH G903 LIGHTSPEED,95 490 ₸
Клавиатура LOGITECH POP Keys BLAST YELLOW,53 990 ₸
Мышка игровая LOGITECH G305 Gaming Optical USB Blue,34 990 ₸
Мышка игровая LOGITECH G MX518,39 490 ₸
Мышка LOGITECH USB M 171 wireless Red,8 490 ₸
Мышка LOGITECH USB M 220 wireless Charcoal OFL,10 990 ₸
Клавиатура CANYON CND-SKB6-RU Gaming,24 990 ₸
Клавиатура LOGITECH POP Keys BLAST YELLOW,53 990 ₸
Мышка LOGITECH M650L Signature Bluetooth Mouse - GRAPHITE - LEFT,19 490 ₸
Клавиатура LOGITECH MK 220 USB Black,14 990 ₸
Игровая гарнитура LOGITECH PRO X Wireless LIGHTSPEED Gaming Headset,127 490 ₸
Колонки LOGITECH Z 150 (2.0),15 990 ₸
Внешний накопитель HDD 2.5 TRANSCEND M3 1 TB (TS1TSJ25M3),46 290 ₸
Игровая гарнитура CANYON CND-SGHS3A,7 990 ₸
Мышка X Game XM-775OGB Черный,1 890 ₸
Клавиатура CANYON CNS-HKBW2-RU,7 990 ₸
Клавиатура X Game XD-7700GB черный,4 090 ₸
Игровая гарнитура LOGITECH G733 (White),95 490 ₸
Сетевой фильтр DEFENDER DFS 151 (6 розеток 1.8м),3 990 ₸
Клавиатура LOGITECH K 280E,12 990 ₸
Мышка LOGITECH USB M 185 wireless Blue,11 490 ₸
Клавиатура LOGITECH Bluetooth K380 Rose,26 490 ₸
Клавиатура CANYON CNE-CSET1-RU,6 990 ₸
Внутренний накопитель SSD TRANSCEND 250GB (TS250GSSD225S),17 990 ₸
Мышка CANYON CNE-CMSW05B черный,2 990 ₸
Внешний накопитель SSD TRANSCEND 250GB TS250GESD260C,26 190 ₸
Клавиатура LOGITECH MK 240 USB Black,17 490 ₸
Мышка CANYON CNE-CMSW05B черный,2 990 ₸
Внешний накопитель SSD KINGSTON SXS1000/2000G черный,67 590 ₸
Мышка игровая CANYON Gaming CND SGM02RG,5 290 ₸
WEB камера LOGITECH Brio 100 Full HD Webcam - GRAPHITE - USB,24 490 ₸
Мышка игровая CANYON CND SGM20W,14 990 ₸
Мышка игровая LOGITECH PRO X SUPERLIGHT BLACK,84 990 ₸
Клавиатура CANYON CNE-CSET4-RU,9 290 ₸
Коврик для мышки CANYON CND CMP8,4 290 ₸
Мышка CANYON CNS-CMSW09V,6 490 ₸
Мышка CANYON CNE-CMSW11B черный,3 990 ₸
Клавиатура LOGITECH Bluetooth K380 Black,26 490 ₸
Мышка игровая LOGITECH G502 X LIGHTSPEED Wireless Gaming Mouse - WHITE/CORE - EER2,84 990 ₸
Настольный микрофон LORGAR LRG-CMT521,31 490 ₸
Накопитель TRANSCEND SSD 1TB (TS1TESD310S),60 990 ₸
Коврик для мышки CANYON CNE CMP2,2 190 ₸
"Колонки MICROLAB B51(USB), Чёрный",5 790 ₸
Мышка LOGITECH USB M 100 Optical,4 490 ₸
Внешний накопитель SSD TRANSCEND 1TB TS1TESD265C,67 390 ₸
Клавиатура LOGITECH G 213 Prodigy Gaming,42 490 ₸
Мышка LOGITECH USB M 171 wireless Black,8 490 ₸
Клавиатура LOGITECH MK 120 USB Black,12 990 ₸
Клавиатура LOGITECH G413 TKL SE black,47 990 ₸
Клавиатура X Game XK-200UB черный,4 590 ₸
Накопитель KINGSTON DTX/256GB,12 990 ₸
